UniProt_Accession	UniProt_Entry_Name	Gene_Symbol
Q14C86	GAPD1_HUMAN	GAPVD1
Q15003	CND2_HUMAN	NCAPH
Q15008	PSMD6_HUMAN	PSMD6
Q15018	ABRX2_HUMAN	ABRAXAS2
Q15019	SEPT2_HUMAN	SEPTIN2
Q15020	SART3_HUMAN	SART3
Q15021	CND1_HUMAN	NCAPD2
Q15024	EXOS7_HUMAN	EXOSC7
Q15029	U5S1_HUMAN	EFTUD2
Q15043	S39AE_HUMAN	SLC39A14
Q15046	SYK_HUMAN	KARS1
Q15056	IF4H_HUMAN	EIF4H
Q15061	WDR43_HUMAN	WDR43
Q15084	PDIA6_HUMAN	PDIA6
Q15165	PON2_HUMAN	PON2
Q15181	IPYR_HUMAN	PPA1
Q15185	TEBP_HUMAN	PTGES3
Q15208	STK38_HUMAN	STK38
Q15233	NONO_HUMAN	NONO
Q15269	PWP2_HUMAN	PWP2
Q15276	RABE1_HUMAN	RABEP1
Q15293	RCN1_HUMAN	RCN1
Q15365	PCBP1_HUMAN	PCBP1
Q15366	PCBP2_HUMAN	PCBP2
Q15369	ELOC_HUMAN	ELOC
Q15370	ELOB_HUMAN	ELOB
Q15392	DHC24_HUMAN	DHCR24
Q15393	SF3B3_HUMAN	SF3B3
Q15397	PUM3_HUMAN	PUM3
Q15417	CNN3_HUMAN	CNN3
Q15424	SAFB1_HUMAN	SAFB
Q15427	SF3B4_HUMAN	SF3B4
Q15428	SF3A2_HUMAN	SF3A2
Q15459	SF3A1_HUMAN	SF3A1
Q15527	SURF2_HUMAN	SURF2
Q15631	TSN_HUMAN	TSN
Q15637	SF01_HUMAN	SF1
Q15645	PCH2_HUMAN	TRIP13
Q15717	ELAV1_HUMAN	ELAVL1
Q15750	TAB1_HUMAN	TAB1
Q15758	AAAT_HUMAN	SLC1A5
Q15773	MLF2_HUMAN	MLF2
Q15942	ZYX_HUMAN	ZYX
Q16181	SEPT7_HUMAN	SEPTIN7
Q16186	ADRM1_HUMAN	ADRM1
Q16204	CCDC6_HUMAN	CCDC6
Q16342	PDCD2_HUMAN	PDCD2
Q16527	CSRP2_HUMAN	CSRP2
Q16531	DDB1_HUMAN	DDB1
Q16540	RM23_HUMAN	MRPL23
Q16543	CDC37_HUMAN	CDC37
Q16576	RBBP7_HUMAN	RBBP7
Q16629	SRSF7_HUMAN	SRSF7
Q16630	CPSF6_HUMAN	CPSF6
Q16637	SMN_HUMAN	SMN1; SMN2
Q16718	NDUA5_HUMAN	NDUFA5
Q16775	GLO2_HUMAN	HAGH
Q16795	NDUA9_HUMAN	NDUFA9
Q16878	CDO1_HUMAN	CDO1
Q16881	TRXR1_HUMAN	TXNRD1
Q16891	MIC60_HUMAN	IMMT
Q1KMD3	HNRL2_HUMAN	HNRNPUL2
Q2M389	WASC4_HUMAN	WASHC4
Q2NL82	TSR1_HUMAN	TSR1
Q2TAY7	SMU1_HUMAN	SMU1
Q32MZ4	LRRF1_HUMAN	LRRFIP1
Q3KQU3	MA7D1_HUMAN	MAP7D1
Q3MHD2	LSM12_HUMAN	LSM12
Q3SYG4	PTHB1_HUMAN	BBS9
Q3ZCM7	TBB8_HUMAN	TUBB8
Q3ZCQ8	TIM50_HUMAN	TIMM50
Q4G0A6	MINY4_HUMAN	MINDY4
Q4G0J3	LARP7_HUMAN	LARP7
Q4V328	GRAP1_HUMAN	GRIPAP1
Q4VCS5	AMOT_HUMAN	AMOT
Q52LJ0	FA98B_HUMAN	FAM98B
Q53EZ4	CEP55_HUMAN	CEP55
Q53F19	NCBP3_HUMAN	NCBP3
Q53GQ0	DHB12_HUMAN	HSD17B12
Q53GS7	GLE1_HUMAN	GLE1
Q53H12	AGK_HUMAN	AGK
Q562R1	ACTBL_HUMAN	ACTBL2
Q58FF8	H90B2_HUMAN	HSP90AB2P
Q58FG1	HS904_HUMAN	HSP90AA4P
Q5BKZ1	ZN326_HUMAN	ZNF326
Q5H9R7	PP6R3_HUMAN	PPP6R3
Q5H9U9	DDX6L_HUMAN	DDX60L
Q5JTH9	RRP12_HUMAN	RRP12
Q5JTJ3	COA6_HUMAN	COA6
Q5JTZ9	SYAM_HUMAN	AARS2
Q5RKV6	EXOS6_HUMAN	EXOSC6
Q5SSJ5	HP1B3_HUMAN	HP1BP3
Q5SW79	CE170_HUMAN	CEP170
Q5T089	MORN1_HUMAN	MORN1
Q5T0J7	TEX35_HUMAN	TEX35
Q5T3I0	GPTC4_HUMAN	GPATCH4
Q5T4S7	UBR4_HUMAN	UBR4
Q5T653	RM02_HUMAN	MRPL2
Q5T749	KPRP_HUMAN	KPRP
Q5T750	KPLCE_HUMAN	KPLCE
Q5T8P6	RBM26_HUMAN	RBM26
Q5T9A4	ATD3B_HUMAN	ATAD3B
Q5TAQ9	DCAF8_HUMAN	DCAF8
Q5VTE6	ANGE2_HUMAN	ANGEL2
Q5VTL8	PR38B_HUMAN	PRPF38B
Q5VTR2	BRE1A_HUMAN	RNF20
Q5VYS8	TUT7_HUMAN	TUT7
Q6DD87	ZN787_HUMAN	ZNF787
Q6IA86	ELP2_HUMAN	ELP2
Q6IAN0	PEXRP_HUMAN	DHRS7B
Q6IBW4	CNDH2_HUMAN	NCAPH2
Q6IQ49	SDE2_HUMAN	SDE2
Q6L8Q7	PDE12_HUMAN	PDE12
Q6NTF7	ABC3H_HUMAN	APOBEC3H
Q6NW34	RMP64_HUMAN	RMP64
Q6NYC1	JMJD6_HUMAN	JMJD6
Q6NZY4	ZCHC8_HUMAN	ZCCHC8
Q6P158	DHX57_HUMAN	DHX57
Q6P161	RM54_HUMAN	MRPL54
Q6P1J9	CDC73_HUMAN	CDC73
Q6P1L8	RM14_HUMAN	MRPL14
Q6P2E9	EDC4_HUMAN	EDC4
Q6P2Q9	PRP8_HUMAN	PRPF8
Q6P3X3	TTC27_HUMAN	TTC27
Q6P5R6	RL22L_HUMAN	RPL22L1
Q6P5Z2	PKN3_HUMAN	PKN3
Q6P6C2	ALKB5_HUMAN	ALKBH5
Q6PHR2	ULK3_HUMAN	ULK3
Q6PI48	SYDM_HUMAN	DARS2
Q6PK04	CC137_HUMAN	CCDC137
Q6PKG0	LARP1_HUMAN	LARP1
Q6UN15	FIP1_HUMAN	FIP1L1
Q6UWP8	SBSN_HUMAN	SBSN
Q6UX04	CWC27_HUMAN	CWC27
Q6UX27	VSTM1_HUMAN	VSTM1
Q6UXN9	WDR82_HUMAN	WDR82
Q6Y7W6	GGYF2_HUMAN	GIGYF2
Q6YHU6	THADA_HUMAN	THADA
Q6ZN17	LN28B_HUMAN	LIN28B
Q71DI3	H32_HUMAN	H3C15; H3C14; H3C13
Q71RC2	LARP4_HUMAN	LARP4
Q71UM5	RS27L_HUMAN	RPS27L
Q7KZF4	SND1_HUMAN	SND1
Q7L014	DDX46_HUMAN	DDX46
Q7L0Y3	TM10C_HUMAN	TRMT10C
Q7L2E3	DHX30_HUMAN	DHX30
Q7L2H7	EIF3M_HUMAN	EIF3M
Q7L2J0	MEPCE_HUMAN	MEPCE
Q7L3S4	ZN771_HUMAN	ZNF771
Q7L576	CYFP1_HUMAN	CYFIP1
Q7L5D6	GET4_HUMAN	GET4
Q7RTV0	PHF5A_HUMAN	PHF5A
Q7Z2T5	TRM1L_HUMAN	TRMT1L
Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1
Q7Z2W9	RM21_HUMAN	MRPL21
Q7Z3D6	GLUCM_HUMAN	DGLUCY
Q7Z417	NUFP2_HUMAN	NUFIP2
Q7Z4G4	TRM11_HUMAN	TRMT11
Q7Z4H7	HAUS6_HUMAN	HAUS6
Q7Z4Q2	HEAT3_HUMAN	HEATR3
Q7Z4R8	CF120_HUMAN	C6orf120
Q7Z4V5	HDGR2_HUMAN	HDGFL2
Q7Z6Z7	HUWE1_HUMAN	HUWE1
Q7Z739	YTHD3_HUMAN	YTHDF3
Q7Z7C8	TAF8_HUMAN	TAF8
Q7Z7H8	RM10_HUMAN	MRPL10
Q7Z7K0	COXM1_HUMAN	CMC1
Q86SX6	GLRX5_HUMAN	GLRX5
Q86TB9	PATL1_HUMAN	PATL1
Q86TS9	RM52_HUMAN	MRPL52
Q86TU7	SETD3_HUMAN	SETD3
Q86U42	PABP2_HUMAN	PABPN1
Q86UP2	KTN1_HUMAN	KTN1
Q86US8	EST1A_HUMAN	SMG6
Q86UV5	UBP48_HUMAN	USP48
Q86V81	THOC4_HUMAN	ALYREF
Q86VP1	TAXB1_HUMAN	TAX1BP1
Q86VP6	CAND1_HUMAN	CAND1
Q86W50	MET16_HUMAN	METTL16
Q86WX3	AROS_HUMAN	RPS19BP1
Q86X55	CARM1_HUMAN	CARM1
Q86XZ4	SPAS2_HUMAN	SPATS2
Q86YP4	P66A_HUMAN	GATAD2A
Q8IUX4	ABC3F_HUMAN	APOBEC3F
Q8IW35	CEP97_HUMAN	CEP97
Q8IWC1	MA7D3_HUMAN	MAP7D3
Q8IWS0	PHF6_HUMAN	PHF6
Q8IWV7	UBR1_HUMAN	UBR1
Q8IWV8	UBR2_HUMAN	UBR2
Q8IWW8	HOT_HUMAN	ADHFE1
Q8IWX8	CHERP_HUMAN	CHERP
Q8IX01	SUGP2_HUMAN	SUGP2
Q8IX12	CCAR1_HUMAN	CCAR1
Q8IXB1	DJC10_HUMAN	DNAJC10
Q8IXH7	NELFD_HUMAN	NELFCD
Q8IXM3	RM41_HUMAN	MRPL41
Q8IY67	RAVR1_HUMAN	RAVER1
Q8IYB3	SRRM1_HUMAN	SRRM1
Q8IYB7	DI3L2_HUMAN	DIS3L2
Q8IYK2	TEKL1_HUMAN	TEKTL1
Q8IYM0	F186B_HUMAN	FAM186B
Q8IZ69	TRM2A_HUMAN	TRMT2A
Q8IZH2	XRN1_HUMAN	XRN1
Q8IZK6	MCLN2_HUMAN	MCOLN2
Q8IZL8	PELP1_HUMAN	PELP1
Q8N0X7	SPART_HUMAN	SPART
Q8N163	CCAR2_HUMAN	CCAR2
Q8N1F7	NUP93_HUMAN	NUP93
Q8N1G4	LRC47_HUMAN	LRRC47
Q8N2M8	CLASR_HUMAN	CLASRP
Q8N3U4	STAG2_HUMAN	STAG2
Q8N4Q1	MIA40_HUMAN	CHCHD4
Q8N5D0	WDTC1_HUMAN	WDTC1
Q8N5L8	RP25L_HUMAN	RPP25L
Q8N5N7	RM50_HUMAN	MRPL50
Q8N5P1	ZC3H8_HUMAN	ZC3H8
Q8N668	COMD1_HUMAN	COMMD1
Q8N684	CPSF7_HUMAN	CPSF7
Q8N7H5	PAF1_HUMAN	PAF1
Q8N7M0	DYLT5_HUMAN	DYNLT5
Q8N8S7	ENAH_HUMAN	ENAH
Q8N983	RM43_HUMAN	MRPL43
Q8N9M1	CS047_HUMAN	C19orf47
Q8N9T8	KRI1_HUMAN	KRI1
Q8NBJ4	GOLM1_HUMAN	GOLM1
Q8NBM4	UBAC2_HUMAN	UBAC2
Q8NBP7	PCSK9_HUMAN	PCSK9
Q8NBS9	TXND5_HUMAN	TXNDC5
Q8NC51	SERB1_HUMAN	SERBP1
Q8NC60	NOA1_HUMAN	NOA1
Q8NCA5	FA98A_HUMAN	FAM98A
Q8ND56	LS14A_HUMAN	LSM14A
Q8NDC0	MISSL_HUMAN	MAPK1IP1L
Q8NEJ9	NGDN_HUMAN	NGDN
Q8NEV4	MYO3A_HUMAN	MYO3A
Q8NF91	SYNE1_HUMAN	SYNE1
Q8NFW8	NEUA_HUMAN	CMAS
Q8NHQ9	DDX55_HUMAN	DDX55
Q8TA86	RP9_HUMAN	RP9
Q8TAE8	G45IP_HUMAN	GADD45GIP1
Q8TAP9	MPLKI_HUMAN	MPLKIP
Q8TB72	PUM2_HUMAN	PUM2
Q8TBF4	ZCRB1_HUMAN	ZCRB1
Q8TBM8	DJB14_HUMAN	DNAJB14
Q8TBZ6	TM10A_HUMAN	TRMT10A
Q8TCG1	CIP2A_HUMAN	CIP2A
Q8TD19	NEK9_HUMAN	NEK9
Q8TEM1	PO210_HUMAN	NUP210
Q8TEQ6	GEMI5_HUMAN	GEMIN5
Q8WTQ7	GRK7_HUMAN	GRK7
Q8WU90	ZC3HF_HUMAN	ZC3H15
Q8WUA2	PPIL4_HUMAN	PPIL4
Q8WUQ7	CATIN_HUMAN	CACTIN
Q8WVC0	LEO1_HUMAN	LEO1
Q8WVD3	RN138_HUMAN	RNF138
Q8WVK7	SKA2_HUMAN	SKA2
Q8WVM0	TFB1M_HUMAN	TFB1M
Q8WVM7	STAG1_HUMAN	STAG1
Q8WVM8	SCFD1_HUMAN	SCFD1
Q8WVX9	FACR1_HUMAN	FAR1
Q8WWC4	MAIP1_HUMAN	MAIP1
Q8WWK9	CKAP2_HUMAN	CKAP2
Q8WWL2	SPIR2_HUMAN	SPIRE2
Q8WWM7	ATX2L_HUMAN	ATXN2L
Q8WWU5	TCP11_HUMAN	TCP11
Q8WWY3	PRP31_HUMAN	PRPF31
Q8WX93	PALLD_HUMAN	PALLD
Q8WXF1	PSPC1_HUMAN	PSPC1
Q8WXI9	P66B_HUMAN	GATAD2B
Q8WXX0	DYH7_HUMAN	DNAH7
Q8WXX5	DNJC9_HUMAN	DNAJC9
Q92499	DDX1_HUMAN	DDX1
Q92522	H1X_HUMAN	H1-10
Q92526	TCPW_HUMAN	CCT6B
Q92538	GBF1_HUMAN	GBF1
Q92541	RTF1_HUMAN	RTF1
Q92552	RT27_HUMAN	MRPS27
Q92572	AP3S1_HUMAN	AP3S1
Q92598	HS105_HUMAN	HSPH1
Q92600	CNOT9_HUMAN	CNOT9
Q92608	DOCK2_HUMAN	DOCK2
Q92615	LAR4B_HUMAN	LARP4B
Q92616	GCN1_HUMAN	GCN1
Q92621	NU205_HUMAN	NUP205
Q92664	TF3A_HUMAN	GTF3A
Q92665	RT31_HUMAN	MRPS31
Q92734	TFG_HUMAN	TFG
Q92769	HDAC2_HUMAN	HDAC2
Q92785	REQU_HUMAN	DPF2
Q92797	SYMPK_HUMAN	SYMPK
Q92804	RBP56_HUMAN	TAF15
Q92817	EVPL_HUMAN	EVPL
Q92841	DDX17_HUMAN	DDX17
Q92890	UFD1_HUMAN	UFD1
Q92900	RENT1_HUMAN	UPF1
Q92922	SMRC1_HUMAN	SMARCC1
Q92945	FUBP2_HUMAN	KHSRP
Q92947	GCDH_HUMAN	GCDH
Q92973	TNPO1_HUMAN	TNPO1
Q92974	ARHG2_HUMAN	ARHGEF2
Q93008	USP9X_HUMAN	USP9X
Q93009	UBP7_HUMAN	USP7
Q93045	STMN2_HUMAN	STMN2
Q969G3	SMCE1_HUMAN	SMARCE1
Q969H6	POP5_HUMAN	POP5
Q969K3	RNF34_HUMAN	RNF34
Q969Q0	RL36L_HUMAN	RPL36AL
Q96A19	C102A_HUMAN	CCDC102A
Q96A33	CCD47_HUMAN	CCDC47
Q96A35	RM24_HUMAN	MRPL24
Q96A65	EXOC4_HUMAN	EXOC4
Q96AK3	ABC3D_HUMAN	APOBEC3D
Q96B26	EXOS8_HUMAN	EXOSC8
Q96BP2	CHCH1_HUMAN	CHCHD1
Q96BR5	COA7_HUMAN	COA7
Q96C01	F136A_HUMAN	FAM136A
Q96C36	P5CR2_HUMAN	PYCR2
Q96CS3	FAF2_HUMAN	FAF2
Q96CT7	CC124_HUMAN	CCDC124
Q96D09	GASP2_HUMAN	GPRASP2
Q96DA6	TIM14_HUMAN	DNAJC19
Q96DF8	ESS2_HUMAN	ESS2
Q96DG6	CMBL_HUMAN	CMBL
Q96DH6	MSI2H_HUMAN	MSI2
Q96DI7	SNR40_HUMAN	SNRNP40
Q96DT6	ATG4C_HUMAN	ATG4C
Q96DV4	RM38_HUMAN	MRPL38
Q96DX4	RSPRY_HUMAN	RSPRY1
Q96DZ1	ERLEC_HUMAN	ERLEC1
Q96E39	RMXL1_HUMAN	RBMXL1
Q96EL3	RM53_HUMAN	MRPL53
Q96EY1	DNJA3_HUMAN	DNAJA3
Q96EY4	TMA16_HUMAN	TMA16
Q96EY7	PTCD3_HUMAN	PTCD3
Q96F86	EDC3_HUMAN	EDC3
Q96FW1	OTUB1_HUMAN	OTUB1
Q96FX7	TRM61_HUMAN	TRMT61A
Q96FZ2	HMCES_HUMAN	HMCES
Q96G46	DUS3L_HUMAN	DUS3L
Q96GA3	LTV1_HUMAN	LTV1
Q96GC5	RM48_HUMAN	MRPL48
Q96GM8	TOE1_HUMAN	TOE1
Q96H79	ZCCHL_HUMAN	ZC3HAV1L
Q96HQ2	C2AIL_HUMAN	XTBD1
Q96HR8	NAF1_HUMAN	NAF1
Q96HS1	PGAM5_HUMAN	PGAM5
Q96I24	FUBP3_HUMAN	FUBP3
Q96I59	SYNM_HUMAN	NARS2
Q96J01	THOC3_HUMAN	THOC3
Q96JH7	VCIP1_HUMAN	VCPIP1
Q96JJ3	ELMO2_HUMAN	ELMO2
Q96JP5	ZFP91_HUMAN	ZFP91
Q96K37	S35E1_HUMAN	SLC35E1
Q96K76	UBP47_HUMAN	USP47
Q96KR1	ZFR_HUMAN	ZFR
Q96LT9	RNPC3_HUMAN	RNPC3
Q96MF7	NSE2_HUMAN	NSMCE2
Q96MT3	PRIC1_HUMAN	PRICKLE1
Q96MX6	DAA10_HUMAN	DNAAF10
Q96N67	DOCK7_HUMAN	DOCK7
Q96NL6	SCLT1_HUMAN	SCLT1
Q96P16	RPR1A_HUMAN	RPRD1A
Q96P70	IPO9_HUMAN	IPO9
Q96PK6	RBM14_HUMAN	RBM14
Q96PZ0	PUS7_HUMAN	PUS7
Q96QR8	PURB_HUMAN	PURB
Q96QV6	H2A1A_HUMAN	H2AC1
Q96RS0	TGS1_HUMAN	TGS1
Q96S44	PRPK_HUMAN	TP53RK
Q96S55	WRIP1_HUMAN	WRNIP1
Q96S59	RANB9_HUMAN	RANBP9
Q96SB3	NEB2_HUMAN	PPP1R9B
Q96SB4	SRPK1_HUMAN	SRPK1
Q96SI9	STRBP_HUMAN	STRBP
Q96ST2	IWS1_HUMAN	IWS1
Q96T76	MMS19_HUMAN	MMS19
Q96TA2	YMEL1_HUMAN	YME1L1
Q99417	MYCBP_HUMAN	MYCBP
Q99436	PSB7_HUMAN	PSMB7
Q99459	CDC5L_HUMAN	CDC5L
Q99460	PSMD1_HUMAN	PSMD1
Q99471	PFD5_HUMAN	PFDN5
Q99547	MPH6_HUMAN	MPHOSPH6
Q99567	NUP88_HUMAN	NUP88
Q99575	POP1_HUMAN	POP1
Q99592	ZBT18_HUMAN	ZBTB18
Q99598	TSNAX_HUMAN	TSNAX
Q99613	EIF3C_HUMAN	EIF3C
Q99615	DNJC7_HUMAN	DNAJC7
Q99623	PHB2_HUMAN	PHB2
Q99700	ATX2_HUMAN	ATXN2
Q99707	METH_HUMAN	MTR
Q99714	HCD2_HUMAN	HSD17B10
Q99729	ROAA_HUMAN	HNRNPAB
Q99733	NP1L4_HUMAN	NAP1L4
Q99755	PI51A_HUMAN	PIP5K1A
Q99832	TCPH_HUMAN	CCT7
Q99848	EBP2_HUMAN	EBNA1BP2
Q99871	HAUS7_HUMAN	HAUS7
Q99873	ANM1_HUMAN	PRMT1
Q99942	RNF5_HUMAN	RNF5
Q99959	PKP2_HUMAN	PKP2
Q9BPW8	NIPS1_HUMAN	NIPSNAP1
Q9BPX3	CND3_HUMAN	NCAPG
Q9BPZ3	PAIP2_HUMAN	PAIP2
Q9BQ04	RBM4B_HUMAN	RBM4B
Q9BQ39	DDX50_HUMAN	DDX50
Q9BQ52	RNZ2_HUMAN	ELAC2
Q9BQ67	GRWD1_HUMAN	GRWD1
Q9BQ70	TCF25_HUMAN	TCF25
Q9BQ75	CMS1_HUMAN	CMSS1
Q9BQA1	MEP50_HUMAN	WDR77
Q9BQE3	TBA1C_HUMAN	TUBA1C
Q9BQG0	MBB1A_HUMAN	MYBBP1A
Q9BRD0	BUD13_HUMAN	BUD13
Q9BRJ2	RM45_HUMAN	MRPL45
Q9BRJ6	CHOLN_HUMAN	CHLSN
Q9BRJ7	TIRR_HUMAN	NUDT16L1
Q9BRK5	CAB45_HUMAN	SDF4
Q9BRP1	PDD2L_HUMAN	PDCD2L
Q9BRX2	PELO_HUMAN	PELO
Q9BSD7	NTPCR_HUMAN	NTPCR
Q9BSL1	UBAC1_HUMAN	UBAC1
Q9BT78	CSN4_HUMAN	COPS4
Q9BTD8	RBM42_HUMAN	RBM42
Q9BTE1	DCTN5_HUMAN	DCTN5
Q9BTE3	MCMBP_HUMAN	MCMBP
Q9BTU6	P4K2A_HUMAN	PI4K2A
Q9BTV4	TMM43_HUMAN	TMEM43
Q9BU23	LMF2_HUMAN	LMF2
Q9BU61	NDUF3_HUMAN	NDUFAF3
Q9BU76	MMTA2_HUMAN	MMTAG2
Q9BUA3	SPNDC_HUMAN	SPINDOC
Q9BUF5	TBB6_HUMAN	TUBB6
Q9BUJ2	HNRL1_HUMAN	HNRNPUL1
Q9BUL9	RPP25_HUMAN	RPP25
Q9BUQ8	DDX23_HUMAN	DDX23
Q9BV44	THUM3_HUMAN	THUMPD3
Q9BV68	RN126_HUMAN	RNF126
Q9BVA0	KTNB1_HUMAN	KATNB1
Q9BVA1	TBB2B_HUMAN	TUBB2B
Q9BVC4	LST8_HUMAN	MLST8
Q9BVG4	PBDC1_HUMAN	PBDC1
Q9BVI4	NOC4L_HUMAN	NOC4L
Q9BVP2	GNL3_HUMAN	GNL3
Q9BVS4	RIOK2_HUMAN	RIOK2
Q9BVW5	TIPIN_HUMAN	TIPIN
Q9BW30	TPPP3_HUMAN	TPPP3
Q9BW92	SYTM_HUMAN	TARS2
Q9BWF3	RBM4_HUMAN	RBM4
Q9BWH6	RPAP1_HUMAN	RPAP1
Q9BWJ5	SF3B5_HUMAN	SF3B5
Q9BWU0	NADAP_HUMAN	SLC4A1AP
Q9BXP5	SRRT_HUMAN	SRRT
Q9BXV9	GON7_HUMAN	GON7
Q9BXW7	HDHD5_HUMAN	HDHD5
Q9BY41	HDAC8_HUMAN	HDAC8
Q9BY77	PDIP3_HUMAN	POLDIP3
Q9BYB4	GNB1L_HUMAN	GNB1L
Q9BYC8	RM32_HUMAN	MRPL32
Q9BYC9	RM20_HUMAN	MRPL20
Q9BYD1	RM13_HUMAN	MRPL13
Q9BYD2	RM09_HUMAN	MRPL9
Q9BYD3	RM04_HUMAN	MRPL4
Q9BYD6	RM01_HUMAN	MRPL1
Q9BYG3	MK67I_HUMAN	NIFK
Q9BYN8	RT26_HUMAN	MRPS26
Q9BZE1	RM37_HUMAN	MRPL37
Q9BZE2	PUS3_HUMAN	PUS3
Q9BZE4	GTPB4_HUMAN	GTPBP4
Q9BZI7	REN3B_HUMAN	UPF3B
Q9BZX2	UCK2_HUMAN	UCK2
Q9BZZ5	API5_HUMAN	API5
Q9C0C7	AMRA1_HUMAN	AMBRA1
Q9C0C9	UBE2O_HUMAN	UBE2O
Q9GZP4	PITH1_HUMAN	PITHD1
Q9GZS3	SKI8_HUMAN	SKIC8
Q9GZT3	SLIRP_HUMAN	SLIRP
Q9H000	MKRN2_HUMAN	MKRN2
Q9H078	CLPB_HUMAN	CLPB
Q9H0A0	NAT10_HUMAN	NAT10
Q9H0A8	COMD4_HUMAN	COMMD4
Q9H0B6	KLC2_HUMAN	KLC2
Q9H0D6	XRN2_HUMAN	XRN2
Q9H0G5	NSRP1_HUMAN	NSRP1
Q9H0L4	CSTFT_HUMAN	CSTF2T
Q9H0R6	GATA_HUMAN	QRSL1
Q9H0U6	RM18_HUMAN	MRPL18
Q9H147	TDIF1_HUMAN	DNTTIP1
Q9H1A4	APC1_HUMAN	ANAPC1
Q9H1U4	MEGF9_HUMAN	MEGF9
Q9H2J4	PDCL3_HUMAN	PDCL3
Q9H2U1	DHX36_HUMAN	DHX36
Q9H2W6	RM46_HUMAN	MRPL46
Q9H3K6	BOLA2_HUMAN	BOLA2; BOLA2B
Q9H3P2	NELFA_HUMAN	NELFA
Q9H501	ESF1_HUMAN	ESF1
Q9H5V9	STEEP_HUMAN	STEEP1
Q9H6E5	STPAP_HUMAN	TUT1
Q9H6S0	YTDC2_HUMAN	YTHDC2
Q9H773	DCTP1_HUMAN	DCTPP1
Q9H7C9	AAMDC_HUMAN	AAMDC
Q9H7D7	WDR26_HUMAN	WDR26
Q9H7E9	CH033_HUMAN	C8orf33
Q9H814	PHAX_HUMAN	PHAX
Q9H857	NT5D2_HUMAN	NT5DC2
Q9H8G2	CAAP1_HUMAN	CAAP1
Q9H8H0	NOL11_HUMAN	NOL11
Q9H8M2	BRD9_HUMAN	BRD9
Q9H910	JUPI2_HUMAN	JPT2
Q9H936	GHC1_HUMAN	SLC25A22
Q9H974	QTRT2_HUMAN	QTRT2
Q9H9J2	RM44_HUMAN	MRPL44
Q9H9L3	I20L2_HUMAN	ISG20L2
Q9H9P8	L2HDH_HUMAN	L2HGDH
Q9H9Y4	GPN2_HUMAN	GPN2
Q9H9Y6	RPA2_HUMAN	POLR1B
Q9HA64	KT3K_HUMAN	FN3KRP
Q9HAV4	XPO5_HUMAN	XPO5
Q9HAY2	MAGF1_HUMAN	MAGEF1
Q9HB71	CYBP_HUMAN	CACYBP
Q9HBE1	PATZ1_HUMAN	PATZ1
Q9HBF4	ZFYV1_HUMAN	ZFYVE1
Q9HC16	ABC3G_HUMAN	APOBEC3G
Q9HC35	EMAL4_HUMAN	EML4
Q9HC36	MRM3_HUMAN	MRM3
Q9HCC0	MCCB_HUMAN	MCCC2
Q9HCE1	MOV10_HUMAN	MOV10
Q9HCG8	CWC22_HUMAN	CWC22
Q9HCM2	PLXA4_HUMAN	PLXNA4
Q9HCN4	GPN1_HUMAN	GPN1
Q9HCN8	SDF2L_HUMAN	SDF2L1
Q9HCU5	SEC12_HUMAN	PREB
Q9HD42	CHM1A_HUMAN	CHMP1A
Q9NNW5	WDR6_HUMAN	WDR6
Q9NP79	VTA1_HUMAN	VTA1
Q9NP92	RT30_HUMAN	MRPS30
Q9NP97	DLRB1_HUMAN	DYNLRB1
Q9NPA8	ENY2_HUMAN	ENY2
Q9NPD3	EXOS4_HUMAN	EXOSC4
Q9NPE3	NOP10_HUMAN	NOP10
Q9NPF4	OSGEP_HUMAN	OSGEP
Q9NPJ8	NXT2_HUMAN	NXT2
Q9NQ29	LUC7L_HUMAN	LUC7L
Q9NQA3	WASH6_HUMAN	WASH6P
Q9NQP4	PFD4_HUMAN	PFDN4
Q9NQT4	EXOS5_HUMAN	EXOSC5
Q9NQT5	EXOS3_HUMAN	EXOSC3
Q9NQX3	GEPH_HUMAN	GPHN
Q9NR09	BIRC6_HUMAN	BIRC6
Q9NR30	DDX21_HUMAN	DDX21
Q9NR31	SAR1A_HUMAN	SAR1A
Q9NR50	EI2BG_HUMAN	EIF2B3
Q9NR56	MBNL1_HUMAN	MBNL1
Q9NRF9	DPOE3_HUMAN	POLE3
Q9NRL3	STRN4_HUMAN	STRN4
Q9NRN7	ADPPT_HUMAN	AASDHPPT
Q9NRR5	UBQL4_HUMAN	UBQLN4
Q9NRW3	ABC3C_HUMAN	APOBEC3C
Q9NRX1	PNO1_HUMAN	PNO1
Q9NS69	TOM22_HUMAN	TOMM22
Q9NSV4	DIAP3_HUMAN	DIAPH3
Q9NTG7	SIR3_HUMAN	SIRT3
Q9NTJ3	SMC4_HUMAN	SMC4
Q9NTK5	OLA1_HUMAN	OLA1
Q9NUD5	ZCHC3_HUMAN	ZCCHC3
Q9NUJ3	T11L1_HUMAN	TCP11L1
Q9NUL3	STAU2_HUMAN	STAU2
Q9NUL7	DDX28_HUMAN	DDX28
Q9NUP7	TRM13_HUMAN	TRMT13
Q9NUP9	LIN7C_HUMAN	LIN7C
Q9NV31	IMP3_HUMAN	IMP3
Q9NV70	EXOC1_HUMAN	EXOC1
Q9NVA2	SEP11_HUMAN	SEPTIN11
